dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders,yr,price,COGS,revenue,profit
6/1/2021,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0,casual,2,0,3.99,1.24,7.98,6.74
6/1/2021,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,casual,6,0,3.99,1.24,23.94,22.7
6/1/2021,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0,casual,12,0,3.99,1.24,47.88,46.64
6/1/2021,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0,casual,11,0,3.99,1.24,43.89,42.65
6/1/2021,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,casual,8,0,3.99,1.24,31.92,30.68
6/1/2021,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0,casual,12,0,3.99,1.24,47.88,46.64
6/1/2021,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0,casual,9,0,3.99,1.24,35.91,34.67
6/1/2021,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0,casual,5,0,3.99,1.24,19.95,18.71
6/1/2021,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0,casual,3,0,3.99,1.24,11.97,10.73
6/1/2021,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0,casual,3,0,3.99,1.24,11.97,10.73
6/1/2021,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0,casual,0,0,3.99,1.24,0,-1.24
6/1/2021,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0,casual,1,0,3.99,1.24,3.99,2.75
6/1/2021,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0,casual,4,0,3.99,1.24,15.96,14.72
7/1/2021,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0,casual,4,0,3.99,1.24,15.96,14.72
7/1/2021,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0,casual,2,0,3.99,1.24,7.98,6.74
7/1/2021,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0,casual,0,0,3.99,1.24,0,-1.24
7/1/2021,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0,casual,0,0,3.99,1.24,0,-1.24
7/1/2021,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,casual,0,0,3.99,1.24,0,-1.24
7/1/2021,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,casual,8,0,3.99,1.24,31.92,30.68
7/1/2021,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0,casual,8,0,3.99,1.24,31.92,30.68
7/1/2021,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0,casual,20,0,3.99,1.24,79.8,78.56
7/1/2021,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0,casual,9,0,3.99,1.24,35.91,34.67
7/1/2021,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0,casual,16,0,3.99,1.24,63.84,62.6
7/1/2021,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0,casual,19,0,3.99,1.24,75.81,74.57
7/1/2021,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0,casual,9,0,3.99,1.24,35.91,34.67
7/1/2021,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0,casual,9,0,3.99,1.24,35.91,34.67
7/1/2021,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0,casual,7,0,3.99,1.24,27.93,26.69
7/1/2021,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0,casual,9,0,3.99,1.24,35.91,34.67
7/1/2021,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0,casual,5,0,3.99,1.24,19.95,18.71
7/1/2021,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,casual,9,0,3.99,1.24,35.91,34.67
7/1/2021,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0,casual,7,0,3.99,1.24,27.93,26.69
7/1/2021,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0,casual,3,0,3.99,1.24,11.97,10.73
7/1/2021,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0,casual,1,0,3.99,1.24,3.99,2.75
7/1/2021,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0,casual,0,0,3.99,1.24,0,-1.24
7/1/2021,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0,casual,2,0,3.99,1.24,7.98,6.74
7/1/2021,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0,casual,1,0,3.99,1.24,3.99,2.75
8/1/2021,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0,casual,1,0,3.99,1.24,3.99,2.75
8/1/2021,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0,casual,1,0,3.99,1.24,3.99,2.75
8/1/2021,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,casual,3,0,3.99,1.24,11.97,10.73
8/1/2021,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0,casual,1,0,3.99,1.24,3.99,2.75
8/1/2021,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0,casual,5,0,3.99,1.24,19.95,18.71
8/1/2021,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0,casual,2,0,3.99,1.24,7.98,6.74
8/1/2021,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0,casual,8,0,3.99,1.24,31.92,30.68
8/1/2021,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0,casual,7,0,3.99,1.24,27.93,26.69
8/1/2021,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0,casual,12,0,3.99,1.24,47.88,46.64
8/1/2021,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0,casual,5,0,3.99,1.24,19.95,18.71
8/1/2021,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0,casual,8,0,3.99,1.24,31.92,30.68
8/1/2021,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,1,casual,5,0,3.99,1.24,19.95,18.71
8/1/2021,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0,casual,3,0,3.99,1.24,11.97,10.73
8/1/2021,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0,casual,4,0,3.99,1.24,15.96,14.72
8/1/2021,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0,casual,0,0,3.99,1.24,0,-1.24
8/1/2021,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0,casual,2,0,3.99,1.24,7.98,6.74
8/1/2021,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0,casual,1,0,3.99,1.24,3.99,2.75
8/1/2021,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0,casual,1,0,3.99,1.24,3.99,2.75
9/1/2021,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0,casual,1,0,3.99,1.24,3.99,2.75
9/1/2021,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,1,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,1,casual,2,0,3.99,1.24,7.98,6.74
9/1/2021,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0,casual,4,0,3.99,1.24,15.96,14.72
9/1/2021,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0,casual,6,0,3.99,1.24,23.94,22.7
9/1/2021,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0,casual,8,0,3.99,1.24,31.92,30.68
9/1/2021,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0,casual,5,0,3.99,1.24,19.95,18.71
9/1/2021,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0,casual,13,0,3.99,1.24,51.87,50.63
9/1/2021,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0,casual,3,0,3.99,1.24,11.97,10.73
9/1/2021,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0,casual,4,0,3.99,1.24,15.96,14.72
9/1/2021,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0,casual,1,0,3.99,1.24,3.99,2.75
9/1/2021,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0,casual,0,0,3.99,1.24,0,-1.24
9/1/2021,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0,casual,1,0,3.99,1.24,3.99,2.75
9/1/2021,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0,casual,5,0,3.99,1.24,19.95,18.71
9/1/2021,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0,casual,2,0,3.99,1.24,7.98,6.74
10/1/2021,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0,casual,1,0,3.99,1.24,3.99,2.75
10/1/2021,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0,casual,1,0,3.99,1.24,3.99,2.75
10/1/2021,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0,casual,2,0,3.99,1.24,7.98,6.74
10/1/2021,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0,casual,4,0,3.99,1.24,15.96,14.72
10/1/2021,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0,casual,2,0,3.99,1.24,7.98,6.74
10/1/2021,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0,casual,2,0,3.99,1.24,7.98,6.74
10/1/2021,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0,casual,5,0,3.99,1.24,19.95,18.71
10/1/2021,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0,casual,4,0,3.99,1.24,15.96,14.72
10/1/2021,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0,casual,0,0,3.99,1.24,0,-1.24
10/1/2021,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0,casual,2,0,3.99,1.24,7.98,6.74
10/1/2021,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0,casual,4,0,3.99,1.24,15.96,14.72
10/1/2021,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0,casual,4,0,3.99,1.24,15.96,14.72
10/1/2021,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0,casual,1,0,3.99,1.24,3.99,2.75
